Academic Year	UoS Code	Uos Name	Session	Delivery Mode	Campus
2019	ACCT6007	Contemporary Issues in Auditing	Semester 1 (S1C)	NE - Normal Evening	CC - Camperdown/Darlington, Sydney	 Mon 09:00-12:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT6007	Contemporary Issues in Auditing	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 10:00-13:00 [wks 1 to 8, 10 to 13] @ Abercrombie Business School | 
2019	ACCT6007	Contemporary Issues in Auditing	Semester 2 (S2C)	NE - Normal Evening	CC - Camperdown/Darlington, Sydney	 Mon 10:00-13:00 [wks 1 to 8, 10 to 13] @ Abercrombie Business School | 
2019	ACCT6010	Advanced Financial Reporting	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Thu 14:00-17:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT6010	Advanced Financial Reporting	Semester 1 (S1C)	NE - Normal Evening	CC - Camperdown/Darlington, Sydney	 Thu 14:00-17:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT6010	Advanced Financial Reporting	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Thu 14:00-17:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT6010	Advanced Financial Reporting	Semester 2 (S2C)	NE - Normal Evening	CC - Camperdown/Darlington, Sydney	 Thu 14:00-17:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT6014	Designing Accounting Systems	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 16:00-18:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT6015	Extended Performance Reporting	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 18:00-21:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT6120	Corporate Governance and Accountability	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 14:00-15:30 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT6120	Corporate Governance and Accountability	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 11:00-12:30 [wks 1 to 13] @ Abercrombie Business School | 
2019	AERO1400	Intro to Aircraft Construction and Design	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 12:00-13:00 [wks 1 to 8, 10 to 13] @ Abercrombie Business School |  Thu 11:00-12:00 [wks 1 to 13] @ Mechanical Engineering | 
2019	AERO1560	Introduction to Aerospace Engineering	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 10:00-11:00 [wks 1 to 13] @ Mechanical Engineering |  Fri 10:00-11:00 [wks 1 to 7, 9 to 13] @ Peter Nicol Russell | 
2019	AERO2703	Aircraft Performance and Operations	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 11:00-12:00 [wks 1 to 8, 10 to 13] @ Aeronautical Engineering |  Wed 11:00-12:00 [wks 1 to 13] @ Aeronautical Engineering | 
2019	AERO2705	Space Engineering 1	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 11:00-12:00 [wks 1 to 13] @ Abercrombie Business School |  Wed 10:00-11:00 [wks 1 to 13] @ Aeronautical Engineering | 
2019	AERO3260	Aerodynamics 1	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Thu 11:00-13:00 [wks 1 to 13] @ Peter Nicol Russell |  Fri 11:00-12:00 [wks 1 to 13] @ Peter Nicol Russell | 
2019	AERO3261	Propulsion	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Wed 09:00-11:00 [wks 1 to 13] @ Civil & Mining Engineering |  Fri 12:00-13:00 [wks 1 to 7, 9 to 13] @ Mechanical Engineering | 
2019	AERO3360	Aerospace Structures 1	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 11:00-13:00 [wks 1 to 13] @ Mechanical Engineering |  Tue 11:00-12:00 [wks 1 to 13] @ Mechanical Engineering | 
2019	AERO3460	Aerospace Design 1	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 09:00-10:00 [wks 1 to 13] @ Civil & Mining Engineering |  Thu 09:00-10:00 [wks 1 to 13] @ Civil & Mining Engineering | 
2019	AERO3465	Aerospace Design 2	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Thu 14:00-18:00 [wks 1 to 13] @ Aeronautical Engineering | 
2019	AERO3560	Flight Mechanics 1	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 12:00-13:00 [wks 1 to 13] @ Aeronautical Engineering |  Wed 11:00-13:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	AERO3760	Space Engineering 2	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 12:00-14:00 [wks 1 to 8, 10 to 13] @ Mechanical Engineering | 
2019	AERO4260	Aerodynamics 2	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Wed 12:00-13:00 [wks 1 to 13] @ Abercrombie Business School |  Fri 10:00-11:00 [wks 1 to 7, 9 to 13] @ Abercrombie Business School | 
2019	AERO4360	Aerospace Structures 2	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 09:00-10:00 [wks 1 to 13] @ Aeronautical Engineering |  Wed 09:00-11:00 [wks 1 to 13] @ Aeronautical Engineering | 
2019	AERO4460	Aerospace Design 3	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Thu 15:00-18:00 [wks 1 to 13] @ Mechanical Engineering | 
2019	AERO4560	Flight Mechanics 2	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 10:00-12:00 [wks 1 to 13] @ Mechanical Engineering |  Wed 09:00-10:00 [wks 1 to 13] @ Mechanical Engineering | 
2019	AERO4701	Space Engineering 3	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 11:00-13:00 [wks 1 to 13] @ Peter Nicol Russell | 
2019	AERO5200	Advanced Aerodynamics	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Wed 10:00-12:00 [wks 1 to 13] @ Mechanical Engineering | 
2019	AERO5400	Advanced Aircraft Design Analysis	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 09:00-11:00 [wks 1 to 8, 10 to 13] @ Aeronautical Engineering | 
2019	AERO5750	Unmanned Air Vehicle Systems	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 09:00-11:00 [wks 1 to 8, 10 to 13] @ Aeronautical Engineering | 
2019	AERO8260	Aerodynamics 1	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Thu 11:00-13:00 [wks 1 to 13] @ Peter Nicol Russell |  Fri 11:00-12:00 [wks 1 to 13] @ Peter Nicol Russell | 
2019	AERO8261	Propulsion	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Wed 09:00-11:00 [wks 1 to 13] @ Civil & Mining Engineering |  Fri 12:00-13:00 [wks 1 to 7, 9 to 13] @ Mechanical Engineering | 
2019	AERO8360	Aerospace Structures 1	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 11:00-13:00 [wks 1 to 13] @ Mechanical Engineering |  Tue 11:00-12:00 [wks 1 to 13] @ Mechanical Engineering | 
2019	AERO8460	Aerospace Design 1	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 09:00-10:00 [wks 1 to 13] @ Civil & Mining Engineering |  Thu 09:00-10:00 [wks 1 to 13] @ Civil & Mining Engineering | 
2019	AERO8560	Flight Mechanics 1	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 12:00-13:00 [wks 1 to 13] @ Aeronautical Engineering |  Wed 11:00-13:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	AERO9260	Aerodynamics 1	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Thu 11:00-13:00 [wks 1 to 13] @ Peter Nicol Russell |  Fri 11:00-12:00 [wks 1 to 13] @ Peter Nicol Russell | 
2019	AERO9261	Propulsion	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Wed 09:00-11:00 [wks 1 to 13] @ Civil & Mining Engineering |  Fri 12:00-13:00 [wks 1 to 7, 9 to 13] @ Mechanical Engineering | 
2019	AERO9262	Aerodynamics 2	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Wed 12:00-13:00 [wks 1 to 13] @ Abercrombie Business School |  Fri 10:00-11:00 [wks 1 to 7, 9 to 13] @ Abercrombie Business School | 
2019	AERO9301	Applied Finite Element Analysis	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 09:00-10:00 [wks 1 to 13] @ Aeronautical Engineering |  Wed 09:00-11:00 [wks 1 to 13] @ Aeronautical Engineering | 
2019	AERO9360	Aerospace Structures 1	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 11:00-13:00 [wks 1 to 13] @ Mechanical Engineering |  Tue 11:00-12:00 [wks 1 to 13] @ Mechanical Engineering | 
2019	AERO9460	Aerospace Design 1	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 09:00-10:00 [wks 1 to 13] @ Civil & Mining Engineering |  Thu 09:00-10:00 [wks 1 to 13] @ Civil & Mining Engineering | 
2019	AERO9560	Flight Mechanics 1	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 12:00-13:00 [wks 1 to 13] @ Aeronautical Engineering |  Wed 11:00-13:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	AERO9760	Spacecraft and Satellite Design	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Wed 09:00-11:00 [wks 1 to 13] @ Aeronautical Engineering | 
2019	AFNR4001	Professional Development	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 13:00-14:00 [wks 2] @ Biomedical Building, Australian Technology Park | 
2019	AFNR5210	Sustainable Horticultural Cropping	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 10:00-12:00 [wks 1 to 13] @ Biomedical Building, Australian Technology Park |  Fri 08:00-18:30 [wks 2] @ In The Field | 
2019	AFNR5801	Climate Change: Process, History, Issues	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 14:00-16:00 [wks 2 to 13] @ Chemistry |  Wed 11:00-13:00 [wks 2 to 13] @ R C Mills | 
2019	AFNR5905	Research Paper	Semester 1 (S1C)	SU - Supervision	CC - Camperdown/Darlington, Sydney	 Mon 10:00-12:00 [wks 1 to 13] @ Biomedical Building, Australian Technology Park | 
2019	AFNR5905	Research Paper	Semester 2 (S2C)	SU - Supervision	CC - Camperdown/Darlington, Sydney	 Mon 09:00-12:00 [wks 13] @ Biomedical Building, Australian Technology Park |  Mon 10:00-12:00 [wks 1 to 8, 10 to 12] @ Biomedical Building, Australian Technology Park | 
2019	AFNR5906	Research Communication	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 10:00-12:00 [wks 1 to 13] @ Biomedical Building, Australian Technology Park | 
2019	AFNR5906	Research Communication	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 09:00-12:00 [wks 13] @ Biomedical Building, Australian Technology Park |  Mon 10:00-12:00 [wks 1 to 8, 10 to 12] @ Biomedical Building, Australian Technology Park | 
2019	AGEN3001	Food Product Development	Int August (S2CIAU)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 10:00-13:00 [wks 3, 6] @ Biomedical Building, Australian Technology Park |  Tue 09:00-12:00 [wks 3] @ Biomedical Building, Australian Technology Park |  Tue 10:00-13:00 [wks 5 to 6] @ Biomedical Building, Australian Technology Park |  Wed 09:00-13:00 [wks 5] @ Biomedical Building, Australian Technology Park |  Wed 14:00-17:00 [wks 3, 6] @ Biomedical Building, Australian Technology Park |  Wed 14:00-17:00 [wks 5] @ Biomedical Building, Australian Technology Park |  Thu 10:00-13:00 [wks 3, 6] @ Biomedical Building, Australian Technology Park |  Fri 10:00-13:00 [wks 3] @ Biomedical Building, Australian Technology Park |  Fri 10:00-13:00 [wks 6] @ Biomedical Building, Australian Technology Park | 
2019	AGEN3005	Flavour and Sensory Analysis	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 11:00-13:00 [wks 1 to 13] @ Biomedical Building, Australian Technology Park | 
2019	AGRI2001	Plant Management in Agroecosystems	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Fri 10:00-11:00 [wks 1 to 7, 9 to 13] @ Biomedical Building, Australian Technology Park |  Fri 11:00-12:00 [wks 1 to 7, 9 to 13] @ Biomedical Building, Australian Technology Park | 
2019	AGRO4004	Sustainable Farming Systems	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Wed 10:00-18:00 [wks 2] @ Biomedical Building, Australian Technology Park | 
2019	AGRO4005	Livestock Production Systems	Semester 2 (S2C)	ND - Normal Daytime	CF - Camden Farms	 Tue 10:00-12:00 [wks 1 to 3, 5 to 13] @ Centre for Carbon, Water and Food, Camden |  Tue 10:00-12:00 [wks 4] @ See department for room | 
